iter	Passed	Remaining
0	4	4078
1	8	4097
2	12	4291
3	16	4228
4	21	4196
5	25	4216
6	30	4268
7	34	4260
8	38	4291
9	43	4290
10	47	4279
11	52	4286
12	56	4281
13	61	4314
14	65	4314
15	70	4311
16	74	4301
17	78	4292
18	83	4298
19	87	4285
20	92	4289
21	96	4289
22	100	4280
23	104	4262
24	109	4284
25	114	4276
26	118	4266
27	122	4256
28	126	4244
29	131	4238
30	135	4230
31	139	4231
32	142	4182
33	147	4183
34	151	4171
35	155	4171
36	159	4164
37	164	4164
38	168	4157
39	173	4166
40	177	4160
41	182	4155
42	186	4150
43	191	4155
44	195	4157
45	200	4154
46	205	4171
47	210	4168
48	214	4167
49	219	4179
50	224	4180
51	229	4181
52	233	4178
53	238	4178
54	243	4179
55	247	4180
56	251	4166
57	256	4167
58	260	4160
59	265	4160
60	269	4155
61	274	4160
62	279	4154
63	284	4159
64	289	4164
65	293	4160
66	298	4158
67	303	4159
68	307	4147
69	312	4145
70	317	4149
71	321	4146
72	326	4142
73	330	4140
74	335	4137
75	340	4134
76	344	4127
77	349	4125
78	353	4117
79	357	4114
80	361	4106
81	366	4099
82	370	4093
83	374	4088
84	380	4091
85	384	4085
86	388	4080
87	393	4078
88	397	4070
89	402	4066
90	406	4060
91	410	4055
92	414	4047
93	419	4041
94	424	4039
95	428	4037
96	433	4033
97	437	4027
98	442	4023
99	446	4018
100	451	4015
101	455	4007
102	460	4006
103	464	4000
104	468	3995
105	473	3989
106	477	3985
107	482	3982
108	486	3975
109	491	3975
110	495	3971
111	500	3967
112	505	3967
113	510	3964
114	514	3958
115	518	3952
116	523	3954
117	528	3948
118	532	3943
119	537	3943
120	542	3939
121	546	3936
122	551	3931
123	556	3931
124	561	3928
125	565	3923
126	570	3920
127	575	3917
128	580	3916
129	584	3910
130	588	3905
131	592	3898
132	597	3893
133	601	3889
134	606	3883
135	610	3879
136	615	3874
137	619	3872
138	624	3867
139	628	3860
140	633	3856
141	637	3851
142	641	3844
143	645	3838
144	650	3834
145	654	3829
146	659	3825
147	663	3820
148	667	3814
149	672	3810
150	676	3805
151	681	3802
152	685	3794
153	689	3788
154	693	3783
155	698	3778
156	702	3774
157	706	3767
158	711	3764
159	717	3765
160	721	3761
161	725	3754
162	730	3752
163	735	3747
164	739	3743
165	744	3738
166	748	3733
167	752	3728
168	758	3728
169	762	3723
170	767	3720
171	771	3715
172	776	3712
173	781	3708
174	785	3705
175	790	3700
176	795	3697
177	799	3692
178	803	3686
179	808	3681
180	812	3677
181	817	3673
182	821	3667
183	826	3664
